epsilon notation, intentional oops
axiom of choice, fix homie cocoa
algebraic number, barbecuing realm
godel's theorem, godmother's eel
linear algebra, ballerina rage
scalene triangle, legal nectarines
euler's number, lemur's rueben
element chasing, acme enlightens
isosceles triangle, casseroling elites
rational function, cilantro fountain
axiom of substitution, ambitious tofu toxins
necessary condition, disney consecration
finite subcover, infectious verb
noetherian ring, tangerine rhino
element chasing, acme enlightens
associative property of addition, day of disproportionate cavities
bijective functions, conjunctivitis beef
transfinite cardinal, antiaircraft lindens
smooth algebraic variety, bacteriologist have army
stieltjes integral, satelliting jester
